time,latitude,longitude,depth,mag
2020-10-18T10:31:34.970Z,32.4591675,-115.1610031,21.42,3.5
2020-10-18T10:19:23.423Z,-4.4242,129.3506,180.17,4.3
2020-10-18T10:17:34.270Z,62.2294,-145.7061,20,1.3
2020-10-18T10:15:32.750Z,38.1487,-117.8087,10.6,0.6
2020-10-18T10:09:23.700Z,35.6731667,-117.526,4.58,0.58
2020-10-18T10:03:43.870Z,35.8621667,-117.6761667,2.73,0.06
2020-10-18T10:00:34.480Z,38.1805,-117.8585,12.4,0.7
2020-10-18T09:57:59.410Z,35.7586667,-117.5776667,3.46,1.5
2020-10-18T09:42:31.386Z,-16.6309,-177.2712,10,5.1
2020-10-18T09:35:30.173Z,59.828,-139.0324,20.6,1.8
2020-10-18T09:27:32.870Z,33.828,-117.7183333,7.43,0.87
2020-10-18T09:12:56.244Z,62.5216,-151.8999,0.1,1.5
2020-10-18T09:06:51.470Z,33.4815,-116.7971667,6.19,0.37
2020-10-18T09:01:04.143Z,63.4336,-148.4502,59.8,1.5
2020-10-18T08:55:17.222Z,62.6282,-149.5356,58.9,1.4
2020-10-18T08:50:12.210Z,32.4368333,-115.1656667,19.78,1.85
2020-10-18T08:48:37.710Z,35.8635,-117.6805,2.72,1.17
2020-10-18T08:48:07.100Z,38.152,-117.9792,12.8,1.4
2020-10-18T08:45:18.280Z,35.6441667,-117.4335,3.17,0.97
2020-10-18T08:42:30.830Z,19.21783257,-155.3769989,33.25999832,1.86000001
2020-10-18T08:42:26.260Z,33.5001667,-116.4343333,2.61,0.34
2020-10-18T08:14:02.649Z,61.947,-148.6085,32,1.5
2020-10-18T08:07:17.023Z,39.187,23.446,10,4.4
2020-10-18T07:53:40.290Z,35.7121667,-117.545,2.71,0.36
2020-10-18T07:53:36.700Z,38.921833,-122.7561646,5.45,1.26
2020-10-18T07:52:45.660Z,19.15716743,-155.4790039,34.47000122,1.73000002
2020-10-18T07:39:53.680Z,39.683,-119.9207,5.6,1.3
2020-10-18T07:34:53.950Z,38.117,-117.8287,6.5,0.9
2020-10-18T07:34:09.288Z,44.3037,-115.1681,12.55,2.5
2020-10-18T07:30:58.140Z,38.8404999,-122.822998,2.02,1.35
2020-10-18T07:29:59.120Z,35.6765,-117.466,4.26,0.92
2020-10-18T07:13:01.760Z,35.9093333,-117.744,8.42,0.75
2020-10-18T07:11:48.580Z,35.7731667,-117.5911667,5.93,1.12
2020-10-18T07:06:00.890Z,48.59683333,-123.049,15.18,0.91
2020-10-18T07:01:57.150Z,40.3470001,-124.2091675,28.51,3.42
2020-10-18T06:58:29.392Z,-3.8972,-81.8452,10,5.5
2020-10-18T06:58:02.780Z,38.1378,-117.9603,10.2,1.7
2020-10-18T06:49:13.590Z,17.9531,-66.9783,8,2.62
2020-10-18T06:46:04.420Z,34.1126667,-117.2991667,14.23,0.72
2020-10-18T06:37:30.920Z,38.0413322,-121.8031693,4.93,2.01
2020-10-18T06:33:37.960Z,38.8388329,-122.822998,1.8,0.57
2020-10-18T06:31:48.930Z,38.8084984,-122.7911682,3.2,0.74
2020-10-18T06:21:02.230Z,38.3638,-118.6727,17.6,1.3
2020-10-18T06:19:28.080Z,35.8726667,-117.6816667,8.85,0.99
2020-10-18T06:14:37.571Z,37.2749,71.8978,134.12,4.4
2020-10-18T06:07:03.942Z,17.5059,145.4194,483.88,4.5
2020-10-18T06:02:32.530Z,59.3043,-153.0293,71.2,1.7
2020-10-18T06:01:38.620Z,2.5228,128.225,56.99,4.7
2020-10-18T05:58:59.100Z,19.20116615,-155.3868408,29.26000023,1.87
2020-10-18T05:58:40.326Z,57.9856,-155.7895,0,1.8
2020-10-18T05:55:38.580Z,64.7167,-149.2495,16.2,0.9
2020-10-18T05:50:12.341Z,-19.0964,-177.2757,388.22,4.3
2020-10-18T05:48:23.130Z,33.6028333,-116.8095,5.3,0.24
2020-10-18T05:47:02.100Z,33.5116667,-116.76,4.16,0.85
2020-10-18T05:46:54.992Z,11.1513,125.9177,35,4.8
2020-10-18T05:40:41.970Z,38.8375015,-122.8046646,0.26,0.56
2020-10-18T05:37:54.940Z,35.8075,-117.6375,8.4,0.56
2020-10-18T05:33:09.590Z,38.1652,-117.8172,10.3,1.1
2020-10-18T05:30:40.080Z,33.0523333,-115.5915,7.94,1.55
2020-10-18T05:28:05.270Z,44.5156667,-115.2248333,9.78,2.6
2020-10-18T05:23:39.500Z,34.5008333,-118.0665,10.59,0.69
2020-10-18T05:22:02.792Z,63.076,-151.5916,8.9,1.8
2020-10-18T05:17:38.960Z,59.7307,-138.9941,9.3,1.6
2020-10-18T05:11:18.590Z,38.1615,-117.8825,5.4,1.1
2020-10-18T05:08:25.820Z,35.8591667,-117.6775,7.41,0.46
2020-10-18T05:04:37.030Z,35.6795,-117.5326667,10.81,0.49
2020-10-18T04:24:52.460Z,35.787,-117.6318333,10.43,1.29
2020-10-18T04:23:44.025Z,66.303,-157.2194,0,2.4
2020-10-18T04:23:34.090Z,35.8615,-117.68,7.09,0.2
2020-10-18T04:21:29.150Z,35.8596667,-117.6828333,6.63,0.77
2020-10-18T04:12:53.713Z,63.4509,-149.0165,5,0.7
2020-10-18T04:11:06.752Z,60.1077,-140.6879,16.7,1.4
2020-10-18T04:08:46.960Z,35.8886667,-117.7211667,6.5,0.92
2020-10-18T04:07:59.074Z,63.1222,-150.2988,100.4,1.1
2020-10-18T04:04:34.661Z,64.9125,-151.4171,9.5,2.4
2020-10-18T03:59:56.883Z,61.4558,-151.7153,77.5,1.8
2020-10-18T03:49:12.600Z,19.18799973,-155.4681702,32.22999954,2.16000009
2020-10-18T03:45:59.780Z,33.4816667,-116.7996667,5.04,0.3
2020-10-18T03:44:12.392Z,36.86697769,-97.45598602,3.107538223,1.69
2020-10-18T03:42:58.700Z,62.6385,-152.0207,0.9,1.3
2020-10-18T03:37:32.190Z,44.526,-115.2326667,10.14,3.46
2020-10-18T03:37:15.746Z,61.0407,-148.4313,7.9,1.5
2020-10-18T03:35:48.579Z,35.9860611,-97.51338959,4.139722347,1.83
2020-10-18T03:31:30.575Z,63.9351,-148.8586,105.5,1
2020-10-18T03:28:38.497Z,-28.8791,-178.4505,219.18,4.8
2020-10-18T03:24:31.900Z,35.6901667,-117.5185,2.54,2.06
2020-10-18T03:14:14.920Z,37.6523333,-118.9343333,4,0.14
2020-10-18T03:11:44.990Z,33.7096667,-116.7695,16.32,2.03
2020-10-18T03:01:07.650Z,63.2762,-151.1093,7.3,0.9
2020-10-18T02:54:38.240Z,19.41916656,-155.2793274,0.050000001,1.77
2020-10-18T02:53:52.640Z,19.15516663,-155.465332,28.03000069,2.87
2020-10-18T02:50:27.920Z,41.0051667,-123.6968333,26.9,2.12
2020-10-18T02:47:36.890Z,37.3903333,-118.5958333,4.33,1.11
2020-10-18T02:40:38.076Z,63.159,-147.6195,0.1,2.4
2020-10-18T02:39:03.390Z,19.40250015,-155.2853394,0.400000006,1.70000005
2020-10-18T02:38:10.200Z,38.8344994,-122.8111649,1.98,0.56
2020-10-18T02:25:46.225Z,60.2502,-152.3789,100.9,1.3
2020-10-18T02:23:31.380Z,33.3906667,-116.3748333,3.1,0.92
2020-10-18T02:14:04.530Z,19.21433258,-155.4481659,37.34999847,1.72000003
2020-10-18T02:12:30.893Z,64.7193,-146.8473,18.4,1.4
2020-10-18T02:10:55.120Z,38.1857,-117.7417,11.7,1.2
2020-10-18T02:09:12.854Z,60.9493,-150.0908,40.4,1.3
2020-10-18T01:57:27.666Z,60.1921,-151.1421,43.8,2.2
2020-10-18T01:22:01.366Z,62.3247,-148.7424,4.8,1.4
2020-10-18T01:21:56.500Z,19.20616722,-155.456665,34.40999985,2.01999998
2020-10-18T01:04:09.790Z,33.905,-116.3385,6.11,0.48
2020-10-18T00:57:36.414Z,-28.2814,-68.7651,113.88,4.5
2020-10-18T00:56:42.450Z,63.068,-151.5548,0.1,1.4
2020-10-18T00:54:09.545Z,63.536,-150.8121,14.3,0.5
2020-10-18T00:40:41.818Z,65.2672,-162.9856,4.3,2.6
2020-10-18T00:30:08.194Z,63.0273,-151.5585,0,1.3
2020-10-18T00:24:47.090Z,38.1268,-118.0572,1.9,0.3
2020-10-18T00:14:40.180Z,38.8126678,-122.8219986,2.86,1
2020-10-18T00:05:11.241Z,-62.3441,-58.3904,10,5.2
2020-10-18T00:04:26.955Z,-31.5265,-69.5308,118.46,4
2020-10-18T00:02:35.700Z,38.1657,-117.9547,16,1.9
2020-10-17T23:57:41.100Z,35.8341667,-117.6861667,8.31,0.64
2020-10-17T23:57:27.860Z,40.4128333,-121.4416667,7.85,0.44
2020-10-17T23:31:09.000Z,38.6872,-117.0768,13.9,1.3
2020-10-17T23:22:14.421Z,61.2864,-147.0396,29.8,1.5
2020-10-17T23:16:11.690Z,38.8271675,-122.8099976,0.81,0.56
2020-10-17T23:07:35.764Z,64.9688,-147.4475,3.3,1.4
2020-10-17T23:07:31.940Z,35.8956667,-117.6996667,4.28,0.61
2020-10-17T23:06:05.600Z,48.893,-122.2211667,14.17,2.3
2020-10-17T22:52:25.450Z,38.8361664,-122.7991638,1.54,0.84
2020-10-17T22:48:48.990Z,38.8186684,-122.7965012,2.88,1.95
2020-10-17T22:45:26.014Z,38.1145,76.8822,10,4.4
2020-10-17T22:42:47.800Z,32.7513333,-115.8153333,8.67,1.1
2020-10-17T22:40:51.350Z,39.0403328,-123.0288315,13.67,1.78
2020-10-17T22:15:32.580Z,33.6776667,-116.7273333,15.73,1.25
2020-10-17T22:15:17.160Z,37.4452,-114.497,10.1,1.1
2020-10-17T22:10:52.660Z,33.9208333,-117.1641667,9.54,0.73
2020-10-17T22:08:28.254Z,63.3808,-151.0267,18.5,1
2020-10-17T21:59:47.680Z,33.3133333,-116.2705,7.95,1.05
2020-10-17T21:58:49.604Z,65.1502,-146.5553,0,1.8
2020-10-17T21:58:39.247Z,60.9324,-152.6167,139.6,1.5
2020-10-17T21:44:20.910Z,35.6775,-117.4633333,9.24,0.69
2020-10-17T21:37:48.720Z,36.88855362,-97.4458313,5,2.83
2020-10-17T21:35:26.270Z,38.129,-118.3022,7.1,1.5
2020-10-17T21:26:01.237Z,61.5154,-151.6701,75.3,0.9
2020-10-17T21:16:03.590Z,32.866,-116.1783333,8.35,1.04
2020-10-17T21:14:26.630Z,37.5003319,-121.8268356,4.57,1.24
2020-10-17T21:13:58.630Z,18.0176,-66.7976,16,2.23
2020-10-17T21:12:52.400Z,38.8214989,-122.7988358,3.31,0.99
2020-10-17T21:06:28.340Z,38.8186684,-122.805336,3.07,0.6
2020-10-17T20:59:29.110Z,-25.5675,179.8918,508.9,4.4
2020-10-17T20:58:39.460Z,38.8306656,-122.7623367,0.4,0.4
2020-10-17T20:58:32.126Z,-6.081,122.5387,10,4.5
2020-10-17T20:55:22.426Z,69.0556,-143.9678,39.7,1.9
2020-10-17T20:54:47.776Z,62.1889,-144.8284,20,1.4
2020-10-17T20:48:59.945Z,63.2808,-148.3676,69.9,2
